"Date_Sampled","Year","Irr_season","Depth_1","Field_ID","Soil_pH","Soluble_Salts","OM_pct","NO3_D1_ppm","Bicarb_P_ppm","SO4_ppm","ExchK_ppm","ExchCa_ppm","ExchMg_ppm","ExchNa_ppm","Zn_ppm","Fe_ppm","Mn_ppm","Cu_ppm","Boron_ppm","CEC_me_100g","treatment"
2004-04-22,2004,"Before","37-48","F2",8.5,0.38,0.1,3,4,28,37,1180,374,606,0.1,12,3.7,1.5,0.6,11.7,"Sodium"
2004-02-09,2004,"Before","0-12","F2",8.6,0.66,1.8,0.7,29,8,612,710,183,824,2.1,44.2,84.3,3,1,10.2,"Sodium"
2004-02-09,2004,"Before","13-24","F2",8.9,0.7,0.4,0.4,8,11,235,870,172,990,0.7,16.1,18.6,1.6,0.7,10.7,"Sodium"
2004-02-09,2004,"Before","25-36","F2",8.8,0.6,0.3,0.7,6,10,113,950,227,849,0.7,16.4,14.5,1.5,0.9,10.6,"Sodium"
2004-02-09,2004,"Before","37-48","F2",7.9,0.44,0.1,2.8,4,13,36,970,285,465,0.5,14.6,9.3,1.3,0.6,9.3,"Sodium"
2004-10-27,2004,"During","13-24","F2",8.1,1.12,0.7,5.5,15,85,160,1280,251,635,0.8,13.8,7.2,1.2,0.8,11.7,"Sodium"
2004-10-27,2004,"During","25-36","F2",8,1.04,0.8,5.2,5,84,149,1260,286,725,1.3,19,9.3,1.2,0.7,12.2,"Sodium"
2004-10-27,2004,"During","37-48","F2",8,1.14,0.5,3.1,8,62,92,1260,325,640,1,22.8,9.4,1.1,0.6,12,"Sodium"
2004-09-01,2004,"During","0-12","F2",7.6,1.68,2.6,44.8,33,87,729,970,158,468,3.2,35,18.1,2.6,0.9,10.1,"Sodium"
2004-09-01,2004,"During","13-24","F2",7.7,0.9,0.8,20.8,11,74,436,940,165,394,1.1,22.9,14.9,2.2,1,8.9,"Sodium"
2004-09-01,2004,"During","25-36","F2",8.1,0.8,0.6,6.5,8,57,136,1130,219,677,0.6,20.6,12.8,1.6,0.8,10.8,"Sodium"
2004-09-01,2004,"During","37-48","F2",7.9,0.92,0.7,9.9,9,69,187,1060,201,580,0.8,28.4,15.5,2.2,0.8,10,"Sodium"
2005-01-11,2005,"Winter","0-12","F2",,,,0.92,,,,67,205,1250,325,545,1.1,16.3,6,1.4,"Sodium"
2005-01-11,2005,"Winter","13-24","F2",,,,1.06,,,,76,196,1590,343,502,0.9,16.3,6,1.4,"Sodium"
2005-01-11,2005,"Winter","25-36","F2",,,,1.06,,,,80,130,1370,352,600,0.8,15.6,5.9,1.3,"Sodium"
2005-01-11,2005,"Winter","37-48","F2",,,,1.12,,,,75,120,1420,374,646,0.7,16.3,6.6,1.3,"Sodium"
2005-04-01,2005,"Before","25-36","F2",,,,0.7,,,,34,69,1510,393,486,0.2,13.6,5.8,1.1,"Sodium"
2005-04-01,2005,"Before","37-48","F2",,,,0.64,,,,40,78,1470,458,529,0.2,15.1,6.2,1,"Sodium"
2005-06-08,2005,"Before","0-12","F2",,,,2.12,,,,68,572,1480,114,49,2.5,30.6,10.5,2.2,"Sodium"
2005-06-08,2005,"Before","13-24","F2",,,,1.62,,,,133,211,1730,225,141,0.8,22.8,6.3,1.6,"Sodium"
2005-06-08,2005,"Before","25-36","F2",,,,1.38,,,,112,169,1590,261,344,0.8,21.4,6.6,1.5,"Sodium"
2005-06-08,2005,"Before","37-48","F2",,,,1.3,,,,103,118,1550,333,514,0.6,17.7,6.3,1.3,"Sodium"
2005-07-08,2005,"During","0-12","F2",,,,0.78,48,,,46,616,1400,150,52,2,39.9,16.9,3,"Sodium"
2005-07-08,2005,"During","13-24","F2",,,,0.78,,,,41,252,1430,199,351,0.5,20.6,8.6,1.6,"Sodium"
2005-07-08,2005,"During","25-36","F2",,,,0.62,,,,31,113,1390,272,552,0.3,13.3,6.3,1.2,"Sodium"
2005-07-08,2005,"During","37-48","F2",,,,0.7,,,,29,43,1410,430,537,0.1,11.6,4.4,0.6,"Sodium"
2005-10-20,2005,"During","0-12","F2",,,,0.92,12,,,86,189,1200,256,544,0.4,16.3,9.2,1.4,"Sodium"
2005-10-20,2005,"During","13-24","F2",,,,0.84,,,,69,593,1310,158,600,3.4,43.9,19.2,2.5,"Sodium"
2005-10-20,2005,"During","25-36","F2",,,,0.88,,,,75,184,1270,286,656,0.6,21.1,11.3,1.3,"Sodium"
2005-10-20,2005,"During","37-48","F2",,,,0.86,,,,81,90,1140,300,525,0.2,17.2,8.5,0.9,"Sodium"
2005-12-22,2005,"After","0-12","F2",,,,1.12,12,,,34,695,1450,138,375,3.4,43.3,23.8,2.6,"Sodium"
2005-12-22,2005,"After","13-24","F2",,,,0.78,12,,,23,489,920,186,410,1.2,20.9,19.7,2.2,"Sodium"
2005-12-22,2005,"After","25-36","F2",,,,0.84,12,,,36,154,1210,267,860,0.4,12.9,7.3,1.3,"Sodium"
2005-12-22,2005,"After","37-48","F2",,,,1.16,12,,,57,67,1190,354,775,0.2,10.2,4.8,0.7,"Sodium"
2006-05-11,2006,"Before","0-12","F2",,,,0.64,12,,,21,164,1220,237,529,0.6,12.6,6.3,1.2,"Sodium"
2006-05-11,2006,"Before","13-24","F2",,,,0.72,,,,34,113,1280,305,759,0.5,18.8,10.1,0.8,"Sodium"
2006-05-11,2006,"Before","25-36","F2",,,,0.72,,,,21,229,1280,271,568,1.1,28.6,12.3,1.2,"Sodium"
2006-05-11,2006,"Before","37-48","F2",,,,0.76,,,,34,85,1350,355,844,0.1,12.6,10.9,0.8,"Sodium"
